source	target	weight	p_value
Androgen	Tmprss2	11.4906307374	2.38480595753e-47
Androgen	Nkx3-1	10.6225511027	2.20510249279e-44
Androgen	Mboat2	10.4727329721	4.63237583753e-44
Androgen	Klk2	10.176185878	1.94440984116e-40
Androgen	Sarg	11.3868523945	2.79021042494e-40
Androgen	Slc38a4	7.36380493768	1.25307123795e-39
Androgen	Mtmr9	6.13064559946	2.53440310636e-38
Androgen	Zbtb16	10.6144369438	1.56715241732e-36
Androgen	Kcnn2	9.4731988889	7.71187197616e-36
Androgen	Oprk1	-5.62607353634	1.11424476068e-35
Androgen	Adam7	3.11174530687	3.11445587816e-32
Androgen	Abcc4	9.37428478112	2.00952123408e-31
Androgen	Mybpc1	4.60857869284	6.80727789424e-31
Androgen	Eaf2	6.94490738852	7.84196439434e-31
Androgen	Klk3	14.6068407674	9.1960446294e-31
Androgen	Otulinl	7.7082177175	3.93720268298e-30
Androgen	Pex10	5.74946026182	1.41057071519e-29
Androgen	Si	-5.79500307445	3.98607715937e-29
Androgen	Snai2	19.8215089854	8.15238863253e-29
Androgen	Camkk2	3.73954403123	2.59013000998e-28
Androgen	Bmpr1b	4.63408450531	6.18286300539e-28
Androgen	F5	6.087825897	1.20477649211e-27
Androgen	Lifr	8.6125146918	1.13344863945e-26
Androgen	Mak	5.31367285271	4.17686469859e-26
Androgen	Gnmt	5.67263863695	9.32638494399e-25
Androgen	Mpc2	5.88831328709	1.22053441289e-24
Androgen	Ctnna2	3.86912654352	1.5381996097e-24
Androgen	Cldn8	7.82616312833	3.29816151774e-24
Androgen	Lrrfip2	4.14418717192	1.81210483807e-23
Androgen	Lrrc31	-5.18102258915	2.47859457194e-23
Androgen	Lpar3	5.84827847574	6.07583983209e-23
Androgen	Slc15a2	5.13992665138	6.74975732461e-23
Androgen	Ell2	6.5675774538	1.36336902078e-22
Androgen	Igf1r	5.01152202997	1.45270633533e-21
Androgen	Dnm1l	4.18867959332	2.1356182018e-21
Androgen	Lrig1	6.62607205612	3.99308941978e-21
Androgen	Slitrk3	-3.32064361336	1.5034623307e-20
Androgen	Kcnma1	3.54241990608	2.3839984073e-20
Androgen	Nppc	4.04611571241	7.79335202273e-20
Androgen	Elk4	2.73317183336	6.21306212193e-19
Androgen	Mrps18a	3.92493588807	9.54706820929e-19
Androgen	Cbll1	5.32543758834	1.08452613931e-18
Androgen	Aff3	2.48009244085	1.68953389635e-18
Androgen	Sgk1	12.8168418138	2.05506325922e-18
Androgen	Stk39	6.93412462041	2.08428874486e-18
Androgen	Pmepa1	10.9989122239	2.12761317132e-18
Androgen	Malt1	6.66978209415	2.36319782023e-18
Androgen	Cdk8	-4.29086828336	2.51413222544e-18
Androgen	Crot	4.35830672292	2.72477608693e-18
Androgen	Pgc	4.7496332151	4.11145422896e-18
Androgen	Steap4	9.19433931111	6.51703930722e-18
Androgen	Nsmaf	3.28454451793	6.95956498147e-18
Androgen	Gpr63	-3.22759309882	1.30554753782e-17
Androgen	Tll1	-2.46391807731	1.59406591342e-17
Androgen	Maf	5.86387138398	1.8056603569e-17
Androgen	Dhcr24	6.84300840294	2.68019688945e-17
Androgen	Frk	4.70024893522	2.99302199579e-17
Androgen	Cenpn	8.49101673326	3.50287184032e-17
Androgen	Sord	5.77756578443	3.58729607104e-17
Androgen	Iqgap2	5.12448342846	5.28636917768e-17
Androgen	Mphosph9	5.10619862739	5.47269116011e-17
Androgen	Hoxc13	-3.63425580489	8.30110521046e-17
Androgen	Chrna2	3.3317016194	8.72289731002e-17
Androgen	Ctbp1	-2.89217188229	9.90848209186e-17
Androgen	Klf15	2.83253408437	1.12346766139e-16
Androgen	Acsl3	8.25821358567	1.19060922689e-16
Androgen	Tpd52	4.54571137515	3.18135992392e-16
Androgen	Spdef	3.75095128457	3.4528428203e-16
Androgen	Fzd5	4.68661955181	3.95334834012e-16
Androgen	Grik1	-1.64651345517	6.57513780357e-16
Androgen	Csgalnact1	6.84603443294	6.872220752e-16
Androgen	Dnase2b	3.01132858824	6.89044176442e-16
Androgen	Phf8	1.86964493558	1.20085732185e-15
Androgen	Arhgef26	5.31107976025	1.57487578479e-15
Androgen	Uap1	7.62235942884	1.84488932249e-15
Androgen	Eci2	4.26810222296	2.08145832814e-15
Androgen	Adprm	4.13348871896	2.44999510735e-15
Androgen	Grhl2	4.29572486397	3.23687418898e-15
Androgen	Endod1	6.51615227021	3.37749880923e-15
Androgen	Ncapd3	8.44090141153	7.14774480358e-15
Androgen	Azgp1	5.81835009695	8.18288355798e-15
Androgen	Acp3	-3.01472809845	9.00291293176e-15
Androgen	Tspan3	-3.04694823602	1.12547644848e-14
Androgen	Igf1	2.68011765402	1.2751416508e-14
Androgen	Pde9a	2.90020939568	1.59121713278e-14
Androgen	Sytl2	-5.38953615735	1.70753611118e-14
Androgen	Ppp2cb	2.35261800325	2.77063337755e-14
Androgen	Mynn	-2.91880437202	2.8020413312e-14
Androgen	Rab3b	4.39309957965	3.31498643161e-14
Androgen	Sec14l2	4.38852738911	3.44312983136e-14
