Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-MMU-6798695,Neutrophil degranulation,,-16,3.8,11,15189,464,426,50,12,1.6,11674|11886|12266|12512|12514|13014|13030|13032|13033|13040|13057|13058|14130|14319|14751|14824|14825|14972|14990|15439|15442|16592|16783|17105|17319|18033|18173|18405|18636|18641|18648|18733|19025|19156|19261|19325|22320|24088|26949|56615|64138|66824|67963|74096|76763|105722|232413|232801|269523|433375,Aldoa|Asah1|C3|Cd63|Cd68|Cstb|Ctsb|Ctsc|Ctsd|Ctss|Cyba|Cybb|Fcgr2b|Fth1|Gpi1|Grn|Cxcl1|H2-K1|H2-M2|Hp|Hpse|Fabp5|Lamp1|Lyz2|Mif|Nfkb1|Slc11a1|Orm1|Cfp|Pfkl|Pgam1|Pirb|Ctsa|Psap|Sirpa|Rab10|Vamp8|Tlr2|Vat1|Mgst1|Ctsz|Pycard|Npc2|Hvcn1|Mospd2|Ano6|Clec12a|Lilra5|Vcp|Creg1,-11,Activated_Mfs
GO Biological Processes,19,GO:0006954,inflammatory response,19_GO:0050896 response to stimulus,-13,3.5,9.5,15189,474,426,47,11,1.5,12259|12266|12514|12774|12978|13051|13057|13058|14131|14747|14824|14825|15251|15368|15439|15442|16193|16412|16795|16889|17319|17918|18033|18173|18405|18439|18782|18807|19419|20210|20304|20305|20308|20969|22329|24088|26362|27226|56312|66824|74748|83433|100340|105722|208449|227541|241447,C1qa|C3|Cd68|Ccr5|Csf1r|Cx3cr1|Cyba|Cybb|Fcgr3|Cmklr1|Grn|Cxcl1|Hif1a|Hmox1|Hp|Hpse|Il6|Itgb1|Large1|Lipa|Mif|Myo5a|Nfkb1|Slc11a1|Orm1|P2rx7|Pla2g2d|Pld3|Rasgrp1|Saa3|Ccl5|Ccl6|Ccl9|Sdc1|Vcam1|Tlr2|Axl|Pla2g7|Nupr1|Pycard|Slamf8|Trem2|Smpdl3b|Ano6|Sgms1|Camk1d|Cers6,-9.6,Activated_Mfs
GO Biological Processes,19,GO:0045087,innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-12,3,8.6,15189,602,426,51,12,1.6,12259|12260|12262|12266|12332|12479|12523|12978|13051|13057|13058|14026|14960|14962|14969|16854|17085|17319|17476|17973|18033|18173|18477|18636|18807|19261|19328|20304|20305|20308|20779|22320|22352|24088|26362|30925|54445|60440|66102|66824|68279|69635|73149|75345|83433|100340|107508|217203|240354|269799|100034251,C1qa|C1qb|C1qc|C3|Capg|Cd1d1|Cd84|Csf1r|Cx3cr1|Cyba|Cybb|Evl|H2-Aa|Cfb|H2-Eb1|Lgals3|Ly9|Mif|Mpeg1|Nck1|Nfkb1|Slc11a1|Prdx1|Cfp|Pld3|Sirpa|Rab12|Ccl5|Ccl6|Ccl9|Src|Vamp8|Vim|Tlr2|Axl|Slamf6|Unc93b1|Iigp1|Cxcl16|Pycard|Mcoln2|Dapk1|Clec4a3|Slamf7|Trem2|Smpdl3b|Eprs|Tmem106a|Malt1|Clec4a1|Wfdc17,-8.2,Activated_Mfs
GO Biological Processes,19,GO:0098883,synapse pruning,19_GO:0009987 cellular process,-10,31,15,15189,8,426,7,1.6,0.62,12259|12260|12262|12266|13051|13838|83433,C1qa|C1qb|C1qc|C3|Cx3cr1|Epha4|Trem2,-6.6,Activated_Mfs
GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-9.7,2.9,7.6,15189,562,426,45,11,1.5,11502|11674|11745|11853|12978|13051|13653|13838|14388|14747|14751|14824|15200|15251|15368|15442|16159|16412|16854|17387|17390|17918|18438|18591|20304|20620|20656|20779|22339|24088|27226|52822|66102|66824|67299|68750|70097|76089|76763|83433|93695|105722|227541|330662|384783,Adam9|Aldoa|Anxa3|Rhoc|Csf1r|Cx3cr1|Egr1|Epha4|Gab1|Cmklr1|Gpi1|Grn|Hbegf|Hif1a|Hmox1|Hpse|Il12a|Itgb1|Lgals3|Mmp14|Mmp2|Myo5a|P2rx4|Pdgfb|Ccl5|Plk2|Sod2|Src|Vegfa|Tlr2|Pla2g7|Rufy3|Cxcl16|Pycard|Dock7|Rreb1|Sash1|Rapgef2|Mospd2|Trem2|Gpnmb|Ano6|Camk1d|Dock1|Irs2,-6.3,Activated_Mfs
GO Biological Processes,19,GO:0050727,regulation of inflammatory response,19_GO:0050896 response to stimulus,-9.6,3.5,7.9,15189,349,426,34,8,1.3,11816|12266|12520|12774|12978|13011|13032|13040|13051|13982|14130|14131|14824|15442|16193|16835|16956|18033|18413|18782|19261|20304|22320|23945|24088|27052|56312|66725|66824|74748|83433|100340|232801|625249,Apoe|C3|Cd81|Ccr5|Csf1r|Cst7|Ctsc|Ctss|Cx3cr1|Esr1|Fcgr2b|Fcgr3|Grn|Hpse|Il6|Ldlr|Lpl|Nfkb1|Osm|Pla2g2d|Sirpa|Ccl5|Vamp8|Mgll|Tlr2|Aoah|Nupr1|Lrrk2|Pycard|Slamf8|Trem2|Smpdl3b|Lilra5|Gpx4,-6.3,Activated_Mfs
GO Biological Processes,19,GO:2000147,positive regulation of cell motility,19_GO:0040011 locomotion,-9.2,2.8,7.4,15189,580,426,45,11,1.5,11502|11674|11745|11853|12978|13051|13653|13838|14388|14747|14751|14824|15200|15251|15368|15442|16159|16412|16854|17387|17390|17918|18438|18591|20304|20620|20656|20779|22339|24088|27226|52822|66102|66824|67299|68750|70097|76089|76763|83433|93695|105722|227541|330662|384783,Adam9|Aldoa|Anxa3|Rhoc|Csf1r|Cx3cr1|Egr1|Epha4|Gab1|Cmklr1|Gpi1|Grn|Hbegf|Hif1a|Hmox1|Hpse|Il12a|Itgb1|Lgals3|Mmp14|Mmp2|Myo5a|P2rx4|Pdgfb|Ccl5|Plk2|Sod2|Src|Vegfa|Tlr2|Pla2g7|Rufy3|Cxcl16|Pycard|Dock7|Rreb1|Sash1|Rapgef2|Mospd2|Trem2|Gpnmb|Ano6|Camk1d|Dock1|Irs2,-6,Activated_Mfs
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-9.1,2.9,7.4,15189,522,426,42,9.9,1.4,12266|12520|12774|12978|13032|13040|13051|13057|14131|14747|14824|14825|16159|16193|16783|16835|16956|17319|17381|18413|18438|18591|19419|20304|22320|22339|24088|27226|30925|54445|56312|66725|66824|70097|76438|76763|83433|105722|227541|232801|380713|414084,C3|Cd81|Ccr5|Csf1r|Ctsc|Ctss|Cx3cr1|Cyba|Fcgr3|Cmklr1|Grn|Cxcl1|Il12a|Il6|Lamp1|Ldlr|Lpl|Mif|Mmp12|Osm|P2rx4|Pdgfb|Rasgrp1|Ccl5|Vamp8|Vegfa|Tlr2|Pla2g7|Slamf6|Unc93b1|Nupr1|Lrrk2|Pycard|Sash1|Rftn1|Mospd2|Trem2|Ano6|Camk1d|Lilra5|Scarf1|Tnip3,-5.9,Activated_Mfs
GO Biological Processes,19,GO:0019882,antigen processing and presentation,19_GO:0002376 immune system process,-8.9,6.3,8.9,15189,96,426,17,4,0.95,11793|12479|13039|13040|14130|14131|14960|14964|14969|14972|14990|18173|19156|19325|54445|65972|76438,Atg5|Cd1d1|Ctsl|Ctss|Fcgr2b|Fcgr3|H2-Aa|H2-D1|H2-Eb1|H2-K1|H2-M2|Slc11a1|Psap|Rab10|Unc93b1|Ifi30|Rftn1,-5.7,Activated_Mfs
GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-8.9,2.7,7.2,15189,594,426,45,11,1.5,11502|11745|11793|12192|12259|12479|12494|12520|12522|12523|12978|13039|13051|13653|14130|14131|14824|14962|15902|16157|16159|16193|16889|17085|17289|17973|18030|18173|18439|18477|18733|18782|19156|19419|20304|24088|26362|30925|66824|74748|75345|75766|83433|217203|240354,Adam9|Anxa3|Atg5|Zfp36l1|C1qa|Cd1d1|Cd38|Cd81|Cd83|Cd84|Csf1r|Ctsl|Cx3cr1|Egr1|Fcgr2b|Fcgr3|Grn|Cfb|Id2|Il11ra1|Il12a|Il6|Lipa|Ly9|Mertk|Nck1|Nfil3|Slc11a1|P2rx7|Prdx1|Pirb|Pla2g2d|Psap|Rasgrp1|Ccl5|Tlr2|Axl|Slamf6|Pycard|Slamf8|Slamf7|Dcstamp|Trem2|Tmem106a|Malt1,-5.7,Activated_Mfs
