Category	CategoryID	GO	Description	PARENT_GO	LogP	Enrichment	Z-score	#TotalGeneInLibrary	#GeneInGO	#GeneInHitList	#GeneInGOAndHitList	%InGO	STDV %InGO	GeneID	Hits	Log(q-value)	GeneList
GO Cellular Components	20	GO:0042611	MHC protein complex		-18	38	22	16230	27	208	13	6.2	1.7	12010|14960|14961|14964|14969|14972|14999|15015|15018|15039|15040|16149|110557	B2m|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMb1|H2-Q4|H2-Q7|H2-T22|H2-T23|Cd74|H2-Q6	-14	Cajal_UP
GO Biological Processes	19	GO:0019882	antigen processing and presentation	19_GO:0002376 immune system process	-17	15	16	16230	97	208	19	9.1	2	12010|14960|14961|14964|14969|14972|14999|15015|15018|15039|15040|16149|16912|16913|19186|19698|21354|21356|110557	B2m|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMb1|H2-Q4|H2-Q7|H2-T22|H2-T23|Cd74|Psmb9|Psmb8|Psme1|Relb|Tap1|Tapbp|H2-Q6	-13	Cajal_UP
GO Biological Processes	19	GO:0034341	response to type II interferon	19_GO:0044419 biological process involved in interspecies interaction between organisms	-17	13	15	16230	130	208	21	10	2.1	14469|14960|14961|14969|15018|15900|15944|16145|16149|16362|17472|20296|20846|55932|66141|68713|76074|80876|100702|229898|229900	Gbp2|H2-Aa|H2-Ab1|H2-Eb1|H2-Q7|Irf8|Irgm1|Igtp|Cd74|Irf1|Gbp4|Ccl2|Stat1|Gbp3|Ifitm3|Ifitm1|Gbp8|Ifitm2|Gbp6|Gbp5|Gbp7	-13	Cajal_UP
GO Biological Processes	19	GO:0035456	response to interferon-beta	19_GO:0050896 response to stimulus	-16	20	17	16230	64	208	16	7.7	1.8	14469|15944|15953|16145|16362|20846|54396|55932|60440|66141|68713|80876|100702|229900|240327|100039796	Gbp2|Irgm1|Ifi47|Igtp|Irf1|Stat1|Irgm2|Gbp3|Iigp1|Ifitm3|Ifitm1|Ifitm2|Gbp6|Gbp7|Iigp1c|Tgtp2	-13	Cajal_UP
KEGG Pathway	24	mmu04612	Antigen processing and presentation - Mus musculus (house mouse)		-15	18	16	16230	70	208	16	7.7	1.8	12010|14960|14961|14964|14969|14972|14999|15015|15018|15039|15040|16149|19186|21354|21356|110557	B2m|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMb1|H2-Q4|H2-Q7|H2-T22|H2-T23|Cd74|Psme1|Tap1|Tapbp|H2-Q6	-12	Cajal_UP
GO Biological Processes	19	GO:0048002	antigen processing and presentation of peptide antigen	19_GO:0002376 immune system process	-15	20	16	16230	60	208	15	7.2	1.8	12010|14960|14961|14964|14969|14972|14999|15015|15018|15039|15040|16149|21354|21356|110557	B2m|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMb1|H2-Q4|H2-Q7|H2-T22|H2-T23|Cd74|Tap1|Tapbp|H2-Q6	-12	Cajal_UP
GO Molecular Functions	21	GO:0042605	peptide antigen binding		-14	32	18	16230	27	208	11	5.3	1.6	14960|14961|14964|14969|14972|15015|15018|15039|15040|21354|110557	H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|Tap1|H2-Q6	-11	Cajal_UP
GO Biological Processes	19	GO:0035458	cellular response to interferon-beta	19_GO:0050896 response to stimulus	-13	18	15	16230	55	208	13	6.2	1.7	14469|15944|15953|16145|16362|20846|54396|55932|60440|100702|229900|240327|100039796	Gbp2|Irgm1|Ifi47|Igtp|Irf1|Stat1|Irgm2|Gbp3|Iigp1|Gbp6|Gbp7|Iigp1c|Tgtp2	-10	Cajal_UP
GO Biological Processes	19	GO:0045087	innate immune response	19_GO:0044419 biological process involved in interspecies interaction between organisms	-12	4.3	9.5	16230	622	208	34	16	2.6	12010|12266|12977|14469|14960|14961|14969|15018|15900|15944|16145|16149|16362|16819|17472|18033|19698|20296|20846|50908|54396|55932|60440|66141|67138|68713|71586|76074|80876|100689|100702|229898|229900|230073	B2m|C3|Csf1|Gbp2|H2-Aa|H2-Ab1|H2-Eb1|H2-Q7|Irf8|Irgm1|Igtp|Cd74|Irf1|Lcn2|Gbp4|Nfkb1|Relb|Ccl2|Stat1|C1s1|Irgm2|Gbp3|Iigp1|Ifitm3|Herc6|Ifitm1|Ifih1|Gbp8|Ifitm2|Spon2|Gbp6|Gbp5|Gbp7|Rigi	-9.5	Cajal_UP
KEGG Pathway	24	mmu05169	Epstein-Barr virus infection - Mus musculus (house mouse)		-12	8	11	16230	195	208	20	9.6	2	12010|12043|14960|14961|14964|14969|14972|14999|15015|15018|15039|15040|18033|18035|19698|20846|21354|21356|110557|230073	B2m|Bcl2|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMb1|H2-Q4|H2-Q7|H2-T22|H2-T23|Nfkb1|Nfkbia|Relb|Stat1|Tap1|Tapbp|H2-Q6|Rigi	-9.4	Cajal_UP
