Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-MMU-72766,Translation,,-14,4.4,10,16816,217,667,38,5.7,0.9,11837|13629|13681|13682|13684|16341|16785|16898|19899|19944|19988|20102|26961|27058|27367|53356|54709|55944|66047|66077|66085|66163|66407|66419|66480|66973|67025|67212|67891|76846|79044|94063|94064|94065|99045|216767|223691|100503670,Rplp0|Eef2|Eif4a1|Eif4a2|Eif4e|Eif3e|Rpsa|Rps2|Rpl18|Rpl29|Rpl6|Rps4x|Rpl8|Srp9|Rpl3|Eif3g|Eif3i|Eif3d|Mrpl54|Aurkaip1|Eif3f|Mrpl4|Mrps15|Mrpl11|Rpl15|Mrps18b|Rpl11|Mrpl55|Rpl4|Rps9|Mrps34|Mrpl16|Mrpl27|Mrpl34|Mrps26|Mrpl22|Eif3l|Rpl5,-11,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-6798695,Neutrophil degranulation,,-12,2.9,8.7,16816,484,667,56,8.4,1.1,11537|11674|11758|11821|12091|12266|12306|12333|12475|12512|13010|13014|13032|13033|13200|13629|14375|14824|15212|15289|16592|16783|18010|18746|19025|19156|19177|19182|19345|20568|20719|21762|21930|22123|23918|23997|53378|56031|56444|56615|66508|67706|69146|69550|70495|72512|76299|78388|83409|83768|104009|110006|215449|227613|227753|245828,Cfd|Aldoa|Prdx6|Aprt|Glb1|C3|Anxa2|Capn1|Cd14|Cd63|Cst3|Cstb|Ctsc|Ctsd|Ddost|Eef2|Xrcc6|Grn|Hexb|Hmgb1|Fabp5|Lamp1|Neu1|Pkm|Ctsa|Psap|Psmb7|Psmc3|Rab5c|Slpi|Serpinb6a|Psmd2|Tnfaip6|Psmd3|Impdh2|Psmd13|Sdcbp|Ppie|Actr10|Mgst1|Lamtor1|Tmem179b|Gsdmd|Bst2|Atp6ap2|Sting1|Erp44|Mvp|Lamtor2|Dpp7|Qsox1|Gusb|Rap1b|Tubb4b|Gsn|Trappc1,-9.5,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
GO Molecular Functions,21,GO:0005198,structural molecule activity,,-12,2.6,8.3,16816,604,667,63,9.4,1.1,11837|11867|12834|12837|12950|12955|13179|13601|14114|14115|16012|16785|16898|17022|17181|17304|19899|19944|19988|20102|20563|22142|22143|22352|23997|26961|27176|27367|28084|29817|50530|56429|58859|59042|66047|66163|66407|66419|66480|66695|66973|67025|67212|67891|74325|76293|76477|76846|79044|81877|94063|94064|94065|94067|100952|108075|116847|216616|216767|225215|227613|232440|100503670,Rplp0|Arpc1b|Col6a2|Col8a1|Hapln1|Cryab|Dcn|Ecm1|Fbln1|Fbln2|Igfbp6|Rpsa|Rps2|Lum|Matn2|Mfge8|Rpl18|Rpl29|Rpl6|Rps4x|Slit2|Tuba1a|Tuba1b|Vim|Psmd13|Rpl8|Rpl7a|Rpl3|Vps25|Igfbp7|Mfap5|Dpt|Efemp2|Cope|Mrpl54|Mrpl4|Mrps15|Mrpl11|Rpl15|Aspn|Mrps18b|Rpl11|Mrpl55|Rpl4|Cltb|Mfap4|Pcolce2|Rps9|Mrps34|Tnxb|Mrpl16|Mrpl27|Mrpl34|Mrpl43|Emilin1|Ltbp4|Prelp|Efemp1|Mrpl22|Rsl24d1|Tubb4b|H2aj|Rpl5,-9.1,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-11,5.6,9.5,16816,104,667,23,3.4,0.71,11837|13681|13682|13684|16341|16785|16898|19899|19944|19988|20102|26961|27367|53356|54709|55944|66085|66480|67025|67891|76846|223691|100503670,Rplp0|Eif4a1|Eif4a2|Eif4e|Eif3e|Rpsa|Rps2|Rpl18|Rpl29|Rpl6|Rps4x|Rpl8|Rpl3|Eif3g|Eif3i|Eif3d|Eif3f|Rpl15|Rpl11|Rpl4|Rps9|Eif3l|Rpl5,-8.3,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,,-11,5.5,9.4,16816,105,667,23,3.4,0.71,11837|13681|13682|13684|16341|16785|16898|19899|19944|19988|20102|26961|27367|53356|54709|55944|66085|66480|67025|67891|76846|223691|100503670,Rplp0|Eif4a1|Eif4a2|Eif4e|Eif3e|Rpsa|Rps2|Rpl18|Rpl29|Rpl6|Rps4x|Rpl8|Rpl3|Eif3g|Eif3i|Eif3d|Eif3f|Rpl15|Rpl11|Rpl4|Rps9|Eif3l|Rpl5,-8.2,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
GO Molecular Functions,21,GO:0003735,structural constituent of ribosome,,-10,4.3,8.6,16816,164,667,28,4.2,0.78,11837|16785|16898|19899|19944|19988|20102|26961|27176|27367|66047|66163|66407|66419|66480|66973|67025|67212|67891|76846|79044|94063|94064|94065|94067|216767|225215|100503670,Rplp0|Rpsa|Rps2|Rpl18|Rpl29|Rpl6|Rps4x|Rpl8|Rpl7a|Rpl3|Mrpl54|Mrpl4|Mrps15|Mrpl11|Rpl15|Mrps18b|Rpl11|Mrpl55|Rpl4|Rps9|Mrps34|Mrpl16|Mrpl27|Mrpl34|Mrpl43|Mrpl22|Rsl24d1|Rpl5,-7.7,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-72737,Cap-dependent Translation Initiation,,-10,5.2,9,16816,112,667,23,3.4,0.71,11837|13681|13682|13684|16341|16785|16898|19899|19944|19988|20102|26961|27367|53356|54709|55944|66085|66480|67025|67891|76846|223691|100503670,Rplp0|Eif4a1|Eif4a2|Eif4e|Eif3e|Rpsa|Rps2|Rpl18|Rpl29|Rpl6|Rps4x|Rpl8|Rpl3|Eif3g|Eif3i|Eif3d|Eif3f|Rpl15|Rpl11|Rpl4|Rps9|Eif3l|Rpl5,-7.7,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-72613,Eukaryotic Translation Initiation,,-10,5.2,9,16816,112,667,23,3.4,0.71,11837|13681|13682|13684|16341|16785|16898|19899|19944|19988|20102|26961|27367|53356|54709|55944|66085|66480|67025|67891|76846|223691|100503670,Rplp0|Eif4a1|Eif4a2|Eif4e|Eif3e|Rpsa|Rps2|Rpl18|Rpl29|Rpl6|Rps4x|Rpl8|Rpl3|Eif3g|Eif3i|Eif3d|Eif3f|Rpl15|Rpl11|Rpl4|Rps9|Eif3l|Rpl5,-7.7,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
GO Biological Processes,19,GO:0006412,translation,19_GO:0008152 metabolic process,-9.9,3,7.8,16816,362,667,43,6.4,0.95,11837|13629|13681|13682|13684|16341|16418|16785|16898|19899|19944|19988|20102|20226|26961|27176|27367|53356|54709|55944|66047|66077|66085|66163|66407|66419|66480|66973|67025|67212|67891|76846|79044|94063|94064|94065|94067|99045|216767|223691|225215|233870|100503670,Rplp0|Eef2|Eif4a1|Eif4a2|Eif4e|Eif3e|Eif6|Rpsa|Rps2|Rpl18|Rpl29|Rpl6|Rps4x|Sars|Rpl8|Rpl7a|Rpl3|Eif3g|Eif3i|Eif3d|Mrpl54|Aurkaip1|Eif3f|Mrpl4|Mrps15|Mrpl11|Rpl15|Mrps18b|Rpl11|Mrpl55|Rpl4|Rps9|Mrps34|Mrpl16|Mrpl27|Mrpl34|Mrpl43|Mrps26|Mrpl22|Eif3l|Rsl24d1|Tufm|Rpl5,-7.4,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
GO Biological Processes,19,GO:0043043,peptide biosynthetic process,19_GO:0008152 metabolic process,-9.6,2.9,7.6,16816,384,667,44,6.6,0.96,11837|13629|13681|13682|13684|16341|16418|16785|16898|19899|19944|19988|20102|20226|23887|26961|27176|27367|53356|54709|55944|66047|66077|66085|66163|66407|66419|66480|66973|67025|67212|67891|76846|79044|94063|94064|94065|94067|99045|216767|223691|225215|233870|100503670,Rplp0|Eef2|Eif4a1|Eif4a2|Eif4e|Eif3e|Eif6|Rpsa|Rps2|Rpl18|Rpl29|Rpl6|Rps4x|Sars|Ggt5|Rpl8|Rpl7a|Rpl3|Eif3g|Eif3i|Eif3d|Mrpl54|Aurkaip1|Eif3f|Mrpl4|Mrps15|Mrpl11|Rpl15|Mrps18b|Rpl11|Mrpl55|Rpl4|Rps9|Mrps34|Mrpl16|Mrpl27|Mrpl34|Mrpl43|Mrps26|Mrpl22|Eif3l|Rsl24d1|Tufm|Rpl5,-7.1,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
