Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0048002,antigen processing and presentation of peptide antigen,19_GO:0002376 immune system process,-13,13,14,16289,61,325,16,4.9,1.2,12010|12317|14960|14961|14964|14969|14972|14998|15018|15040|16149|17476|21355|21356|71779|110557,B2m|Calr|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMa|H2-Q7|H2-T23|Cd74|Mpeg1|Tap2|Tapbp|Marchf8|H2-Q6,-11,Pdgfra_low_UP
GO Biological Processes,19,GO:0019882,antigen processing and presentation,19_GO:0002376 immune system process,-13,9.7,12,16289,98,325,19,5.8,1.3,12010|12317|14960|14961|14964|14969|14972|14998|15018|15040|16149|16912|16913|17476|19698|21355|21356|71779|110557,B2m|Calr|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMa|H2-Q7|H2-T23|Cd74|Psmb9|Psmb8|Mpeg1|Relb|Tap2|Tapbp|Marchf8|H2-Q6,-10,Pdgfra_low_UP
GO Biological Processes,19,GO:0019221,cytokine-mediated signaling pathway,19_GO:0050896 response to stimulus,-12,4.8,9.7,16289,313,325,30,9.2,1.6,11797|14600|15976|16149|16164|16195|16196|16452|16847|17329|18795|18829|20296|20306|20307|20311|20312|20846|22031|22234|24047|24099|55985|60440|68713|73914|76527|77125|80876|211550,Birc2|Ghr|Ifnar2|Cd74|Il13ra1|Il6st|Il7|Jak2|Lepr|Cxcl9|Plcb1|Ccl21a|Ccl2|Ccl7|Ccl8|Cxcl5|Cx3cl1|Stat1|Traf3|Ugcg|Ccl19|Tnfsf13b|Cxcl13|Iigp1|Ifitm1|Irak3|Il34|Il33|Ifitm2|Tifa,-9.5,Pdgfra_low_UP
KEGG Pathway,24,mmu04612,Antigen processing and presentation - Mus musculus (house mouse),,-11,11,12,16289,70,325,15,4.6,1.2,12010|12317|12330|14960|14961|14964|14969|14972|14998|15018|15040|16149|21355|21356|110557,B2m|Calr|Canx|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMa|H2-Q7|H2-T23|Cd74|Tap2|Tapbp|H2-Q6,-8.8,Pdgfra_low_UP
GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-11,3.4,8.5,16289,589,325,40,12,1.8,11475|11820|12043|12168|12317|12877|13078|14165|14178|15234|16000|16011|16149|16195|16403|16452|16803|16819|17311|17392|18595|18606|18829|20296|20306|20307|20312|20356|20541|20656|22341|24047|27226|55985|76527|79221|107589|227541|238871|320924,Acta2|App|Bcl2|Bmpr2|Calr|Cpeb1|Cyp1b1|Fgf10|Fgf7|Hgf|Igf1|Igfbp5|Cd74|Il6st|Itga6|Jak2|Lbp|Lcn2|Kitl|Mmp3|Pdgfra|Enpp2|Ccl21a|Ccl2|Ccl7|Ccl8|Cx3cl1|Sema5a|Slc8a1|Sod2|Vegfc|Ccl19|Pla2g7|Cxcl13|Il34|Hdac9|Mylk|Camk1d|Pde4d|Ccbe1,-8.6,Pdgfra_low_UP
GO Biological Processes,19,GO:0045087,innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-11,3.2,8.2,16289,634,325,41,13,1.8,11820|12010|12258|12263|12266|12475|14469|14960|14961|14962|14969|15018|15976|16149|16452|16803|16819|17392|17472|17476|17973|19698|20296|20846|22031|24108|50908|50909|56045|60440|65221|68713|76074|76527|80876|100702|210808|211550|215243|229898|240327,App|B2m|Serping1|C2|C3|Cd14|Gbp2|H2-Aa|H2-Ab1|Cfb|H2-Eb1|H2-Q7|Ifnar2|Cd74|Jak2|Lbp|Lcn2|Mmp3|Gbp4|Mpeg1|Nck1|Relb|Ccl2|Stat1|Traf3|Ubd|C1s1|C1ra|Samhd1|Iigp1|Slc15a3|Ifitm1|Gbp8|Il34|Ifitm2|Gbp6|Lacc1|Tifa|Traf3ip3|Gbp5|Iigp1c,-8.2,Pdgfra_low_UP
GO Biological Processes,19,GO:2000147,positive regulation of cell motility,19_GO:0040011 locomotion,-10,3.3,8.2,16289,613,325,40,12,1.8,11475|11820|12043|12168|12317|12877|13078|14165|14178|15234|16000|16011|16149|16195|16403|16452|16803|16819|17311|17392|18595|18606|18829|20296|20306|20307|20312|20356|20541|20656|22341|24047|27226|55985|76527|79221|107589|227541|238871|320924,Acta2|App|Bcl2|Bmpr2|Calr|Cpeb1|Cyp1b1|Fgf10|Fgf7|Hgf|Igf1|Igfbp5|Cd74|Il6st|Itga6|Jak2|Lbp|Lcn2|Kitl|Mmp3|Pdgfra|Enpp2|Ccl21a|Ccl2|Ccl7|Ccl8|Cx3cl1|Sema5a|Slc8a1|Sod2|Vegfc|Ccl19|Pla2g7|Cxcl13|Il34|Hdac9|Mylk|Camk1d|Pde4d|Ccbe1,-8.1,Pdgfra_low_UP
KEGG Pathway,24,mmu05169,Epstein-Barr virus infection - Mus musculus (house mouse),,-10,5.7,9.3,16289,195,325,22,6.8,1.4,12010|12043|12317|12505|14102|14960|14961|14964|14969|14972|14998|15018|15040|15976|18037|19698|20846|21355|21356|21929|22031|110557,B2m|Bcl2|Calr|Cd44|Fas|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMa|H2-Q7|H2-T23|Ifnar2|Nfkbie|Relb|Stat1|Tap2|Tapbp|Tnfaip3|Traf3|H2-Q6,-8,Pdgfra_low_UP
GO Biological Processes,19,GO:0006954,inflammatory response,19_GO:0050896 response to stimulus,-10,3.5,8.3,16289,513,325,36,11,1.7,11820|12167|12266|12475|12505|12759|13610|15439|16452|16803|17329|18829|19698|20210|20296|20306|20307|20311|20312|20723|21857|21929|22038|22329|24047|27226|55985|57783|66222|74748|76527|77125|79221|210808|227541|229898,App|Bmpr1b|C3|Cd14|Cd44|Clu|S1pr3|Hp|Jak2|Lbp|Cxcl9|Ccl21a|Relb|Saa3|Ccl2|Ccl7|Ccl8|Cxcl5|Cx3cl1|Serpinb9|Timp1|Tnfaip3|Plscr1|Vcam1|Ccl19|Pla2g7|Cxcl13|Tnip1|Serpinb1a|Slamf8|Il34|Il33|Hdac9|Lacc1|Camk1d|Gbp5,-8,Pdgfra_low_UP
GO Biological Processes,19,GO:0002478,antigen processing and presentation of exogenous peptide antigen,19_GO:0002376 immune system process,-10,18,13,16289,28,325,10,3.1,0.96,12010|14960|14961|14969|14972|14998|16149|17476|21355|21356,B2m|H2-Aa|H2-Ab1|H2-Eb1|H2-K1|H2-DMa|Cd74|Mpeg1|Tap2|Tapbp,-7.9,Pdgfra_low_UP
